Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
Uptown,Merchant & Trade,Lounge,2:00 AM,215 N Church St,,,,,"date-friendly, drinks, upscale, chill, trendy",35.2261,-80.8426
Uptown,Roxbury Nightclub,Nightclub,2:00 AM,110 E 5th St,,,,,"dancey, high-energy, late-night, trendy",35.2296,-80.8436
South End,Sycamore Brewing,Brewery,10:00 PM,2161 Hawkins St,,,,,"chill, drinks, social, brewery, casual",35.2161,-80.8456
South End,Lenny Boy Brewing,Brewery,10:00 PM,3000 S Tryon St,,,,,"chill, drinks, social, brewery, casual",35.2196,-80.8466
South End,Hoppin',Bar / Restaurant,12:00 AM,121 W Worthington Ave,,,,,"drinks, food-focused, social",35.2176,-80.8476
NoDa,NoDa Brewing Company,Brewery,10:00 PM,2921 N Tryon St,,,,,"chill, brewery, hipster, trendy",35.2411,-80.8326
NoDa,Heist Brewery,Brewery / Restaurant,12:00 AM,2909 N Davidson St,,,,,"food-focused, brewery, chill, hipster, trendy",35.2446,-80.8336
NoDa,The Dog Bar,Bar,2:00 AM,3307 N Davidson St,,,,,"chill, drinks, social, hipster, trendy",35.2426,-80.8346
Plaza Midwood,Snug Harbor,Music Venue / Bar,2:00 AM,1228 Gordon St,,,,,"drinks, live-music, social, hipster, trendy",35.2361,-80.8276
Plaza Midwood,The Spoke Easy,Cocktail Bar,2:00 AM,1200 Central Ave,,,,,"date-friendly, drinks, upscale, craft-cocktails, hipster",35.2396,-80.8286
Plaza Midwood,Thomas Street Tavern,Dive Bar,2:00 AM,1218 Thomas Ave,,,,,"chill, dive, neighborhood-gem, hipster, trendy",35.2376,-80.8296
Dilworth,Good Bottle Co.,Wine Bar,10:00 PM,125 Remount Rd,,,,,"chill, date-friendly, drinks, wine-bar",35.2181,-80.8396
Elizabeth,Dot Dot Dot,Cocktail Bar,12:00 AM,400 N College St,,,,,"date-friendly, drinks, upscale, craft-cocktails",35.2311,-80.8346
Camp North End,Protagonist Clubhouse,Brewery,10:00 PM,1024 N Graham St,,,,,"chill, drinks, social, brewery, casual",35.2381,-80.8476
Montford,Peculiar Rabbit,Bar / Restaurant,2:00 AM,1212 Pecan Ave,,,,,"drinks, food-focused, social",35.2341,-80.8376
Fourth Ward,Dandelion Market,Bar / Restaurant,2:00 AM,118 W 5th St,,,,,"drinks, food-focused, social",35.2291,-80.8456
Uptown,Bubble Charlotte,Nightclub,2:00 AM,210 E Trade St,,,,,"dancey, high-energy, late-night, trendy",35.2276,-80.8446
South End,Seoul Food Meat Company,Bar / Restaurant,12:00 AM,1600 W Bland St,,,,,"drinks, food-focused, social",35.2156,-80.8486
NoDa,Karaoke at Jeff's Bucket Shop,Karaoke,2:00 AM,3213 N Davidson St,,,,,"group-fun, interactive, karaoke, hipster, trendy",35.2406,-80.8356
Plaza Midwood,The Common Market,Bar,12:00 AM,2007 Commonwealth Ave,,,,,"chill, drinks, social, hipster, trendy",35.2356,-80.8306
Uptown,Billy Sunday,Cocktail Bar,2:00 AM,130 N Church St,,,,,"date-friendly, drinks, upscale, craft-cocktails, trendy",35.2256,-80.8456
Elizabeth,The Cellar at Duckworth's,Sports Bar,2:00 AM,330 N Tryon St,,,,,"drinks, social, sports, sports-bar, casual",35.2346,-80.8356
South End,Pins Mechanical Co.,Bar,1:00 AM,430 W Tremont Ave,,,,,"drinks, group-fun, social",35.2191,-80.8431
NoDa,Evening Muse,Music Venue / Bar,2:00 AM,3227 N Davidson St,,,,,"drinks, live-music, chill, hipster, trendy",35.2441,-80.8301
