Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
River North,Celeste,Cocktail Bar,2:00 AM,111 W Hubbard St,,,,,"craft-cocktails, upscale, date-friendly, classy",41.8898,-87.6318
River North,Sound-Bar,Club,4:00 AM,226 W Ontario St,,,,,"dancey, dj, high-energy, late-night",41.8933,-87.6358
River North,Esco Bar,Bar,2:00 AM,436 N Clark St,,,,,"drinks, social, trendy, lively",41.8903,-87.6308
River North,Rossi's,Dive Bar,4:00 AM,412 N State St,,,,,"drinks, dive, late-night, social",41.8906,-87.6283
River North,Hubbard Inn,Bar / Restaurant,2:00 AM,110 W Hubbard St,,,,,"drinks, food-focused, social, upscale",41.8898,-87.6316
River North,Bottled Blonde,Bar / Restaurant,2:00 AM,504 N Wells St,,,,,"drinks, social, trendy, lively",41.8913,-87.6339
River North,Bub City,Bar / Restaurant,2:00 AM,435 N Clark St,,,,,"food-focused, live-music, social, lively",41.8903,-87.6308
River North,Richard's Bar,Dive Bar,4:00 AM,491 N Milwaukee Ave,,,,,"drinks, dive, late-night, social, cash-only",41.8895,-87.6476
River North,The Underground,Club,2:00 AM,56 W Illinois St,,,,,"dancey, dj, underground, high-energy",41.8909,-87.6313
River North,Crimson Lounge,Lounge,2:00 AM,333 N Dearborn St,,,,,"upscale, drinks, trendy, date-friendly",41.8885,-87.6296
Wicker Park,The Violet Hour,Cocktail Bar,2:00 AM,1520 N Damen Ave,,,,,"craft-cocktails, upscale, date-friendly, intimate",41.9088,-87.6777
Wicker Park,Big Star,Bar / Restaurant,2:00 AM,1531 N Damen Ave,,,,,"food-focused, drinks, outdoor-seating, hipster",41.9092,-87.6775
Wicker Park,Flat Iron,Bar,2:00 AM,1579 N Milwaukee Ave,,,,,"drinks, social, hipster, lively",41.9100,-87.6731
Wicker Park,Rainbo Club,Dive Bar,2:00 AM,1150 N Damen Ave,,,,,"drinks, dive, hipster, social",41.9028,-87.6773
Wicker Park,Estelle's,Dive Bar,2:00 AM,2013 W North Ave,,,,,"drinks, dive, social, cozy",41.9106,-87.6788
Wicker Park,Double Door (legacy),Music Venue,2:00 AM,1551 N Damen Ave,,,,,"live-music, drinks, social, hipster",41.9093,-87.6777
Wicker Park,Emporium Arcade Bar,Bar / Arcade,2:00 AM,1366 N Milwaukee Ave,,,,,"drinks, arcade, social, hipster",41.9057,-87.6694
Wicker Park,The Map Room,Pub,2:00 AM,1949 N Hoyne Ave,,,,,"drinks, craft, cozy, hipster",41.9169,-87.6808
Wicker Park,Nick's Beer Garden,Beer Garden,2:00 AM,1516 N Milwaukee Ave,,,,,"drinks, outdoor-seating, social, chill",41.9085,-87.6720
Wicker Park,Phyllis' Musical Inn,Music Venue / Bar,2:00 AM,1800 W Division St,,,,,"live-music, drinks, dive, hipster",41.9034,-87.6754
Logan Square,The Whistler,Cocktail Bar,2:00 AM,2421 N Milwaukee Ave,,,,,"craft-cocktails, live-music, hipster, intimate",41.9271,-87.6990
Logan Square,Lost Lake,Bar,2:00 AM,3154 W Diversey Ave,,,,,"drinks, tiki, social, hipster, cozy",41.9321,-87.7064
Logan Square,Revolution Brewing Brewpub,Brewery,12:00 AM,2323 N Milwaukee Ave,,,,,"craft, brewery, food-focused, social",41.9244,-87.6979
Logan Square,Billy Sunday,Cocktail Bar,2:00 AM,3143 W Logan Blvd,,,,,"craft-cocktails, upscale, hipster, intimate",41.9296,-87.7058
Logan Square,The Burlington,Dive Bar,2:00 AM,3425 W Fullerton Ave,,,,,"drinks, dive, social, late-night, hipster",41.9247,-87.7114
Logan Square,Cole's Bar,Bar,2:00 AM,2338 N Milwaukee Ave,,,,,"drinks, live-music, social, hipster",41.9247,-87.6981
Logan Square,Slippery Slope,Bar,2:00 AM,2357 N Milwaukee Ave,,,,,"drinks, social, dancey, hipster, late-night",41.9252,-87.6986
Logan Square,Scofflaw,Cocktail Bar,2:00 AM,3201 W Armitage Ave,,,,,"craft-cocktails, hipster, intimate, cozy",41.9170,-87.7068
Logan Square,Lula Cafe,Restaurant / Bar,12:00 AM,2537 N Kedzie Blvd,,,,,"food-focused, drinks, hipster, intimate",41.9277,-87.7083
Lincoln Park,The J. Parker,Rooftop Bar,12:00 AM,1816 N Clark St,,,,,"rooftop, upscale, date-friendly, trendy",41.9143,-87.6358
