Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
LoDo,Williams & Graham,Cocktail Bar,2:00 AM,3160 Tejon St,,,,,"date-friendly, drinks, upscale, craft-cocktails",39.7432,-104.9928
LoDo,Falling Rock Tap House,Bar,2:00 AM,1919 Blake St,,,,,"drinks, social, casual",39.7467,-104.9938
LoDo,Coors Field Rooftop Bar,Sports Bar,Late,2001 Blake St,,,,,"drinks, social, sports, sports-bar, casual",39.7447,-104.9948
RiNo,Ratio Beerworks,Brewery,11:00 PM,2920 Larimer St,,,,,"chill, brewery, hipster, trendy",39.7462,-104.9848
RiNo,The Source Hotel Bar,Cocktail Bar,12:00 AM,3350 Brighton Blvd,,,,,"date-friendly, drinks, upscale, craft-cocktails, hipster",39.7497,-104.9858
RiNo,Nocturne Jazz,Music Venue / Bar,12:00 AM,1330 27th St,,,,,"live-music, chill, date-friendly, hipster, trendy",39.7477,-104.9868
Capitol Hill,Tracks,Nightclub,2:00 AM,3500 Walnut St,,,,,"dancey, high-energy, late-night, hipster, trendy",39.7332,-104.9848
Capitol Hill,Charlie's Denver,Bar,2:00 AM,900 E Colfax Ave,,,,,"dancey, hipster, trendy, lgbtq-friendly",39.7367,-104.9858
Capitol Hill,Thin Man,Dive Bar,2:00 AM,2015 E 17th Ave,,,,,"chill, dive, neighborhood-gem, hipster, trendy",39.7347,-104.9868
Baker,Historians Ale House,Bar / Restaurant,12:00 AM,24 Broadway,,,,,"drinks, food-focused, social",39.7282,-104.9928
Baker,Baere Brewing Company,Brewery,10:00 PM,320 Broadway,,,,,"chill, drinks, social, brewery, casual",39.7317,-104.9938
South Broadway,Hi-Dive,Music Venue / Bar,2:00 AM,7 S Broadway,,,,,"drinks, live-music, loud",39.7262,-104.9898
South Broadway,Skylark Lounge,Music Venue / Bar,2:00 AM,140 S Broadway,,,,,"drinks, live-music, social",39.7297,-104.9908
Highlands,Avanti Food & Beverage,Bar / Restaurant,11:00 PM,3200 Pecos St,,,,,"drinks, food-focused, social, trendy",39.7462,-104.9998
Highlands,Linger,Bar / Restaurant,12:00 AM,2030 W 30th Ave,,,,,"date-friendly, drinks, food-focused, upscale, trendy",39.7497,-105.0008
Tennyson Street,Call to Arms Brewing,Brewery,11:00 PM,4526 Tennyson St,,,,,"chill, drinks, social, brewery, casual",39.7532,-105.0048
Uptown,Herb's Hideout,Lounge,2:00 AM,2057 Larimer St,,,,,"chill, date-friendly, drinks, trendy",39.7412,-104.9868
Five Points,Cervantes' Masterpiece Ballroom,Music Venue / Bar,2:00 AM,2637 Welton St,,,,,"drinks, live-music, loud, hipster, trendy",39.7432,-104.9848
Colfax,Bluebird Theater,Music Venue / Bar,Late,3317 E Colfax Ave,,,,,"drinks, live-music, loud",39.7352,-104.9798
Colfax,Ogden Theatre,Music Venue / Bar,Late,935 E Colfax Ave,,,,,"drinks, live-music, loud",39.7387,-104.9808
LoDo,Dierks Bentley's Whiskey Row,Bar,2:00 AM,1946 Market St,,,,,"drinks, live-music, social",39.7427,-104.9958
RiNo,Karaoke at Punch Bowl Social,Karaoke,1:00 AM,65 Broadway,,,,,"group-fun, interactive, karaoke, hipster, trendy",39.7457,-104.9878
Capitol Hill,PS Lounge,Dive Bar,2:00 AM,3416 E Colfax Ave,,,,,"chill, dive, neighborhood-gem, hipster, trendy",39.7327,-104.9878
Baker,Baker's Dozen Wine Bar,Wine Bar,11:00 PM,66 S Broadway,,,,,"chill, date-friendly, drinks, wine-bar",39.7297,-104.9948
Denver,Temple Nightclub,Nightclub,2:00 AM,1136 Broadway,,,,,"dancey, high-energy, late-night",39.7382,-104.9898
