Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
Montrose,The Poison Well,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=The+Poison+Well+Montrose+Houston&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails, lgbtq-friendly",29.7644,-95.3843
Montrose,Westheimer Dive,Dive Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Westheimer+Dive+Montrose+Houston&travelmode=driving,"late-night, dive, neighborhood-gem, lgbtq-friendly",29.7679,-95.3853
Montrose,The Menil Lounge,Lounge,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=The+Menil+Lounge+Montrose+Houston&travelmode=driving,"drinks, chill, social, date-friendly, lgbtq-friendly",29.7659,-95.3863
Montrose,Late Night Greek Grill,Restaurant,1:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Late+Night+Greek+Grill+Montrose+Houston&travelmode=driving,"food-focused, late-eats, lgbtq-friendly",29.7639,-95.3873
Montrose,Space City Karaoke,Karaoke,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Space+City+Karaoke+Montrose+Houston&travelmode=driving,"group-fun, interactive, late-night, karaoke, lgbtq-friendly",29.7674,-95.3818
Midtown,Main Street Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Main+Street+Social+Midtown+Houston&travelmode=driving,"drinks, social, late-night",29.7624,-95.3743
Midtown,The Dogwood Patio,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=The+Dogwood+Patio+Midtown+Houston&travelmode=driving,"drinks, social, chill",29.7659,-95.3753
Midtown,Proof & Pour,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Proof+&+Pour+Midtown+Houston&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails",29.7639,-95.3763
Midtown,HTX Live Stage,Music Venue / Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=HTX+Live+Stage+Midtown+Houston&travelmode=driving,"drinks, live-music, loud, social",29.7619,-95.3773
Heights,White Oak Taproom,Brewery / Taproom,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=White+Oak+Taproom+Heights+Houston&travelmode=driving,"drinks, chill, social, brewery, casual",29.7744,-95.3843
Heights,19th Street Pub,Pub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=19th+Street+Pub+Heights+Houston&travelmode=driving,"drinks, social, casual, neighborhood-gem",29.7779,-95.3853
Heights,The Biscuit Joint,Restaurant / Bar,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=The+Biscuit+Joint+Heights+Houston&travelmode=driving,"drinks, food-focused, late-eats, social",29.7759,-95.3863
Heights,Buffalo Bayou Brewing Hall,Brewery / Taproom,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Buffalo+Bayou+Brewing+Hall+Heights+Houston&travelmode=driving,"drinks, chill, social, brewery, casual",29.7739,-95.3873
Downtown Houston,The Reserve Speakeasy,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=The+Reserve+Speakeasy+Downtown+Houston&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails",29.7594,-95.3693
Downtown Houston,Market Square Nightclub,Nightclub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Market+Square+Nightclub+Downtown+Houston&travelmode=driving,"dancey, high-energy, late-night",29.7629,-95.3703
Downtown Houston,Preston Street Wine Room,Wine Bar,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Preston+Street+Wine+Room+Downtown+Houston&travelmode=driving,"date-friendly, drinks, chill, wine-bar",29.7609,-95.3713
EaDo,The Lucky Penny,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=The+Lucky+Penny+EaDo+Houston&travelmode=driving,"drinks, social, chill",29.7544,-95.3593
EaDo,8th Wonder Taphouse,Brewery / Taproom,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=8th+Wonder+Taphouse+EaDo+Houston&travelmode=driving,"drinks, chill, social, brewery, casual",29.7579,-95.3603
EaDo,Second Ward Tacos,Restaurant,1:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Second+Ward+Tacos+EaDo+Houston&travelmode=driving,"food-focused, late-eats, casual",29.7559,-95.3613
EaDo,The East End Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=The+East+End+Social+EaDo+Houston&travelmode=driving,"drinks, social, casual",29.7539,-95.3623
Rice Village,The Owl Bar,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=The+Owl+Bar+Rice+Village+Houston&travelmode=driving,"date-friendly, drinks, chill, craft-cocktails, upscale",29.7494,-95.3843
Rice Village,Kirby Pint House,Sports Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Kirby+Pint+House+Rice+Village+Houston&travelmode=driving,"drinks, social, loud, sports-bar, casual",29.7529,-95.3853
Washington Avenue,The Wobbly Pint,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=The+Wobbly+Pint+Washington+Avenue+Houston&travelmode=driving,"drinks, social, late-night",29.7694,-95.3793
Washington Avenue,W Ave Dance Hall,Nightclub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=W+Ave+Dance+Hall+Washington+Avenue+Houston&travelmode=driving,"dancey, high-energy, late-night",29.7729,-95.3803
Washington Avenue,Neon Boots Social,Bar / Club,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Neon+Boots+Social+Washington+Avenue+Houston&travelmode=driving,"dancey, drinks, social, high-energy",29.7709,-95.3813
Upper Kirby,The Rosewood Wine Bar,Wine Bar,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=The+Rosewood+Wine+Bar+Upper+Kirby+Houston&travelmode=driving,"date-friendly, drinks, upscale, wine-bar, trendy",29.7594,-95.3893
Upper Kirby,Kirby District Grill,Restaurant / Bar,1:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Kirby+District+Grill+Upper+Kirby+Houston&travelmode=driving,"drinks, food-focused, late-eats, social, trendy",29.7629,-95.3903
River Oaks,The Azalea Lounge,Lounge,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=The+Azalea+Lounge+River+Oaks+Houston&travelmode=driving,"date-friendly, drinks, upscale, chill, trendy",29.7694,-95.3943
Third Ward,Emancipation Ave Bar,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Emancipation+Ave+Bar+Third+Ward+Houston&travelmode=driving,"drinks, social, live-music",29.7494,-95.3643
Third Ward,Ward House Kitchen,Restaurant,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Houston&destination=Ward+House+Kitchen+Third+Ward+Houston&travelmode=driving,"food-focused, late-eats, casual",29.7529,-95.3653
