Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
The Strip,Marquee Nightclub,Nightclub,4:00 AM,3708 Las Vegas Blvd S,,,,,"dancey, high-energy, late-night, trendy",36.1489,-115.1343
The Strip,Omnia Nightclub,Nightclub,4:00 AM,3570 Las Vegas Blvd S,,,,,"dancey, high-energy, late-night, trendy",36.1524,-115.1353
The Strip,Chandelier Bar,Cocktail Bar,Late,3708 Las Vegas Blvd S,,,,,"date-friendly, drinks, upscale, craft-cocktails, trendy",36.1504,-115.1363
The Strip,Parasol Up / Parasol Down,Lounge,Late,3131 Las Vegas Blvd S,,,,,"chill, date-friendly, drinks, trendy",36.1484,-115.1373
Downtown,The Griffin,Bar,3:00 AM,511 E Fremont St,,,,,"drinks, social, casual",36.1689,-115.1393
Downtown,Commonwealth,Cocktail Bar,3:00 AM,525 E Fremont St,,,,,"date-friendly, drinks, upscale, craft-cocktails",36.1724,-115.1403
Downtown,Atomic Liquors,Bar,2:00 AM,917 E Fremont St,,,,,"chill, drinks, social",36.1704,-115.1413
Fremont East,Corduroy,Cocktail Bar,2:00 AM,517 E Fremont St,,,,,"date-friendly, drinks, upscale, craft-cocktails",36.1709,-115.1343
Fremont East,The Laundry Room,Cocktail Bar,Late,525 E Fremont St,,,,,"date-friendly, drinks, upscale, craft-cocktails",36.1744,-115.1353
Arts District,ReBar,Bar,2:00 AM,1225 S Main St,,,,,"chill, drinks, social, hipster, trendy",36.1639,-115.1423
Arts District,Velveteen Rabbit,Cocktail Bar,2:00 AM,1218 S Main St,,,,,"date-friendly, drinks, upscale, craft-cocktails, hipster",36.1674,-115.1433
Arts District,Bunkhouse Saloon,Music Venue / Bar,2:00 AM,124 S 11th St,,,,,"drinks, live-music, social, hipster, trendy",36.1654,-115.1443
Chinatown,Herbs & Rye,Cocktail Bar,3:00 AM,3713 W Sahara Ave,,,,,"date-friendly, drinks, upscale, craft-cocktails",36.1589,-115.1593
Chinatown,Golden Tiki,Bar,Late,3939 Spring Mountain Rd,,,,,"drinks, group-fun, social",36.1624,-115.1603
The Strip,XS Nightclub,Nightclub,4:00 AM,2901 Las Vegas Blvd S,,,,,"dancey, high-energy, late-night, trendy",36.1519,-115.1318
Downtown,Hogs & Heifers,Dive Bar,Late,201 N 3rd St,,,,,"chill, dive, neighborhood-gem",36.1684,-115.1423
Paradise,Double Down Saloon,Dive Bar,Late,4640 Paradise Rd,,,,,"chill, late-night, dive, neighborhood-gem",36.1539,-115.1293
The Strip,Skyfall Lounge,Lounge,Late,3950 Las Vegas Blvd S,,,,,"date-friendly, drinks, upscale, chill, trendy",36.1499,-115.1328
East Fremont,Starboard Tack,Cocktail Bar,2:00 AM,2601 Atlantic St,,,,,"date-friendly, drinks, upscale, craft-cocktails",36.1719,-115.1313
Arts District,Nevada Brew Works,Brewery,10:00 PM,1295 S Main St,,,,,"chill, brewery, hipster, trendy",36.1634,-115.1453
Downtown,Karaoke at Dino's Lounge,Karaoke,Late,1516 Las Vegas Blvd S,,,,,"group-fun, interactive, karaoke",36.1719,-115.1368
Fremont East,Park on Fremont,Bar / Restaurant,2:00 AM,506 E Fremont St,,,,,"drinks, food-focused, social",36.1724,-115.1363
The Strip,On The Record,Nightclub,4:00 AM,3799 Las Vegas Blvd S,,,,,"dancey, high-energy, late-night, trendy",36.1479,-115.1338
Chinatown,Ichiza,Bar / Restaurant,3:00 AM,4355 Spring Mountain Rd,,,,,"drinks, food-focused, late-night",36.1604,-115.1613
Downtown,Backstage Bar & Billiards,Music Venue / Bar,Late,601 E Fremont St,,,,,"drinks, live-music, social",36.1699,-115.1378
