Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
Center City,The Continental Cocktail Room,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=City+Hall+Philadelphia&destination=The+Continental+Cocktail+Room+Center+City+Philadelphia&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails, trendy",39.9516,-75.1647
Center City,Broad Street Pub,Pub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=City+Hall+Philadelphia&destination=Broad+Street+Pub+Center+City+Philadelphia&travelmode=driving,"drinks, social, casual, neighborhood-gem",39.9551,-75.1657
Center City,Walnut Street Wine Room,Wine Bar,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=City+Hall+Philadelphia&destination=Walnut+Street+Wine+Room+Center+City+Philadelphia&travelmode=driving,"date-friendly, drinks, chill, wine-bar, trendy",39.9531,-75.1667
Fishtown,Frankford Avenue Tavern,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=City+Hall+Philadelphia&destination=Frankford+Avenue+Tavern+Fishtown+Philadelphia&travelmode=driving,"drinks, social, late-night, hipster, trendy",39.9666,-75.1497
Fishtown,The Fillmore Taproom,Brewery / Taproom,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=City+Hall+Philadelphia&destination=The+Fillmore+Taproom+Fishtown+Philadelphia&travelmode=driving,"chill, brewery, hipster, trendy",39.9701,-75.1507
Fishtown,Girard Avenue Late Eats,Restaurant,1:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=City+Hall+Philadelphia&destination=Girard+Avenue+Late+Eats+Fishtown+Philadelphia&travelmode=driving,"food-focused, late-eats, hipster, trendy",39.9681,-75.1517
Fishtown,The Barbary Stage,Music Venue / Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=City+Hall+Philadelphia&destination=The+Barbary+Stage+Fishtown+Philadelphia&travelmode=driving,"live-music, loud, hipster, trendy",39.9661,-75.1527
Northern Liberties,Liberty Taphouse,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=City+Hall+Philadelphia&destination=Liberty+Taphouse+Northern+Liberties+Philadelphia&travelmode=driving,"drinks, social, casual",39.9636,-75.1547
Northern Liberties,The 700 Social Club,Lounge,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=City+Hall+Philadelphia&destination=The+700+Social+Club+Northern+Liberties+Philadelphia&travelmode=driving,"drinks, chill, social, date-friendly",39.9671,-75.1557
South Philly,Passyunk Pour House,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=City+Hall+Philadelphia&destination=Passyunk+Pour+House+South+Philly+Philadelphia&travelmode=driving,"drinks, social, casual",39.9366,-75.1597
