Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
Downtown,The Riverwalk Cantina,Bar / Restaurant,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=The+Riverwalk+Cantina+Downtown+San+Antonio&travelmode=driving,"drinks, food-focused, social",29.4231,-98.4931
Downtown,Crockett Street Speakeasy,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=Crockett+Street+Speakeasy+Downtown+San+Antonio&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails",29.4266,-98.4941
Downtown,Alamo After Dark,Nightclub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=Alamo+After+Dark+Downtown+San+Antonio&travelmode=driving,"dancey, high-energy, late-night",29.4246,-98.4951
Southtown,The Blue Star Lounge,Lounge,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=The+Blue+Star+Lounge+Southtown+San+Antonio&travelmode=driving,"drinks, chill, social, date-friendly",29.4151,-98.4961
Southtown,South Flores Wine Bar,Wine Bar,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=South+Flores+Wine+Bar+Southtown+San+Antonio&travelmode=driving,"date-friendly, drinks, chill, wine-bar",29.4186,-98.4971
Southtown,The Friendly Spot Social,Bar,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=The+Friendly+Spot+Social+Southtown+San+Antonio&travelmode=driving,"drinks, social, chill",29.4166,-98.4981
Pearl District,The Pearl Taproom,Brewery / Taproom,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=The+Pearl+Taproom+Pearl+District+San+Antonio&travelmode=driving,"drinks, chill, social, brewery, casual",29.4331,-98.4961
Pearl District,Pearl Jazz Parlor,Music Venue / Bar,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=Pearl+Jazz+Parlor+Pearl+District+San+Antonio&travelmode=driving,"drinks, live-music, chill, social, trendy",29.4366,-98.4971
Pearl District,The Bottling Department,Cocktail Bar,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=The+Bottling+Department+Pearl+District+San+Antonio&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails, trendy",29.4346,-98.4981
St. Mary's Strip,The Squeezebox,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=The+Squeezebox+St.+Mary's+Strip+San+Antonio&travelmode=driving,"drinks, social, late-night",29.4351,-98.4981
St. Mary's Strip,Lonesome Rose Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=Lonesome+Rose+Social+St.+Mary's+Strip+San+Antonio&travelmode=driving,"drinks, social, live-music",29.4386,-98.4991
St. Mary's Strip,The Mix Nightclub,Nightclub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=The+Mix+Nightclub+St.+Mary's+Strip+San+Antonio&travelmode=driving,"dancey, high-energy, late-night",29.4366,-98.5001
St. Mary's Strip,Midnight Taco Stand,Restaurant,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=Midnight+Taco+Stand+St.+Mary's+Strip+San+Antonio&travelmode=driving,"food-focused, late-eats, casual",29.4346,-98.5011
Alamo Heights,The Broadway Pour House,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=The+Broadway+Pour+House+Alamo+Heights+San+Antonio&travelmode=driving,"drinks, social, trendy",29.4431,-98.4831
Alamo Heights,Olmos Basin Wine Room,Wine Bar,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=Olmos+Basin+Wine+Room+Alamo+Heights+San+Antonio&travelmode=driving,"date-friendly, drinks, chill, wine-bar, trendy",29.4466,-98.4841
King William,The Guenther House Bar,Bar / Restaurant,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=The+Guenther+House+Bar+King+William+San+Antonio&travelmode=driving,"drinks, food-focused, social, chill",29.4181,-98.4951
King William,King William Brewing,Brewery / Taproom,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=King+William+Brewing+King+William+San+Antonio&travelmode=driving,"drinks, chill, social, brewery, casual",29.4216,-98.4961
Stone Oak,The Stone Oak Grill & Bar,Sports Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=The+Stone+Oak+Grill+&+Bar+Stone+Oak+San+Antonio&travelmode=driving,"drinks, social, loud, sports-bar, casual",29.5031,-98.4731
Monte Vista,The Monte Vista Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=The+Monte+Vista+Social+Monte+Vista+San+Antonio&travelmode=driving,"drinks, social, casual",29.4381,-98.5011
Monte Vista,Hildebrand Wine Cellar,Wine Bar,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=Hildebrand+Wine+Cellar+Monte+Vista+San+Antonio&travelmode=driving,"date-friendly, drinks, chill, wine-bar",29.4416,-98.5021
Tobin Hill,The Pigpen Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=The+Pigpen+Social+Tobin+Hill+San+Antonio&travelmode=driving,"drinks, social, live-music",29.4351,-98.4991
Tobin Hill,San Pedro Brewing,Brewery / Taproom,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=San+Pedro+Brewing+Tobin+Hill+San+Antonio&travelmode=driving,"drinks, chill, social, brewery, casual",29.4386,-98.5001
Hemisfair,Tower of the Americas Lounge,Lounge,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=Tower+of+the+Americas+Lounge+Hemisfair+San+Antonio&travelmode=driving,"date-friendly, drinks, upscale, chill",29.4211,-98.4911
Hemisfair,Yanaguana Night Garden,Bar,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=Yanaguana+Night+Garden+Hemisfair+San+Antonio&travelmode=driving,"drinks, social, chill",29.4246,-98.4921
Downtown,Commerce Street Karaoke,Karaoke,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=Commerce+Street+Karaoke+Downtown+San+Antonio&travelmode=driving,"group-fun, interactive, karaoke",29.4226,-98.4961
Downtown,The River House Late Eats,Restaurant,1:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=The+River+House+Late+Eats+Downtown+San+Antonio&travelmode=driving,"food-focused, late-eats, casual",29.4261,-98.4906
Southtown,La Tuna Icehouse Social,Bar,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=La+Tuna+Icehouse+Social+Southtown+San+Antonio&travelmode=driving,"drinks, social, chill",29.4146,-98.4991
Olmos Park,Olmos Pub,Pub,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=The+Alamo+San+Antonio&destination=Olmos+Pub+Olmos+Park+San+Antonio&travelmode=driving,"drinks, social, casual, neighborhood-gem",29.4481,-98.4931
