Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
Gaslamp Quarter,The Fifth Avenue Social,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=The+Fifth+Avenue+Social+Gaslamp+Quarter+San+Diego&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails",32.7147,-117.1606
Gaslamp Quarter,The Tipsy Crow Roost,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=The+Tipsy+Crow+Roost+Gaslamp+Quarter+San+Diego&travelmode=driving,"drinks, social, late-night",32.7182,-117.1616
Gaslamp Quarter,Gaslight Nightclub,Nightclub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=Gaslight+Nightclub+Gaslamp+Quarter+San+Diego&travelmode=driving,"dancey, high-energy, late-night",32.7162,-117.1626
Gaslamp Quarter,Broadway Late Night Pizza,Restaurant,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=Broadway+Late+Night+Pizza+Gaslamp+Quarter+San+Diego&travelmode=driving,"food-focused, late-eats, casual",32.7142,-117.1636
North Park,The North Parker,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=The+North+Parker+North+Park+San+Diego&travelmode=driving,"drinks, social, chill, hipster, trendy",32.7297,-117.1406
North Park,Thirty & University Brewing,Brewery / Taproom,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=Thirty+&+University+Brewing+North+Park+San+Diego&travelmode=driving,"chill, brewery, hipster, trendy",32.7332,-117.1416
North Park,Observatory Sounds,Music Venue / Bar,Late,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=Observatory+Sounds+North+Park+San+Diego&travelmode=driving,"live-music, loud, hipster, trendy",32.7312,-117.1426
North Park,The Ritual Cocktail Room,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=The+Ritual+Cocktail+Room+North+Park+San+Diego&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails, hipster",32.7292,-117.1436
Hillcrest,The Hillcrest Brewing Social,Brewery / Taproom,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=The+Hillcrest+Brewing+Social+Hillcrest+San+Diego&travelmode=driving,"chill, brewery, lgbtq-friendly",32.7297,-117.1506
Hillcrest,University Avenue Pub,Pub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=University+Avenue+Pub+Hillcrest+San+Diego&travelmode=driving,"drinks, social, casual, neighborhood-gem, lgbtq-friendly",32.7332,-117.1516
Hillcrest,The Gossip Grill Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=The+Gossip+Grill+Social+Hillcrest+San+Diego&travelmode=driving,"drinks, social, chill, lgbtq-friendly",32.7312,-117.1526
Pacific Beach,The PB Shore Club,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=The+PB+Shore+Club+Pacific+Beach+San+Diego&travelmode=driving,"drinks, social, late-night, outdoor-seating, casual",32.7447,-117.1806
Pacific Beach,Garnet Avenue Sports Bar,Sports Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=Garnet+Avenue+Sports+Bar+Pacific+Beach+San+Diego&travelmode=driving,"loud, sports-bar, outdoor-seating",32.7482,-117.1816
Pacific Beach,Late Night Fish Taco,Restaurant,1:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=Late+Night+Fish+Taco+Pacific+Beach+San+Diego&travelmode=driving,"food-focused, late-eats, outdoor-seating, casual",32.7462,-117.1826
Ocean Beach,The Sunshine Social,Dive Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=The+Sunshine+Social+Ocean+Beach+San+Diego&travelmode=driving,"chill, dive, neighborhood-gem, outdoor-seating",32.7247,-117.1906
Ocean Beach,Newport Avenue Pub,Pub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Gaslamp+Quarter+San+Diego&destination=Newport+Avenue+Pub+Ocean+Beach+San+Diego&travelmode=driving,"drinks, social, casual, neighborhood-gem, outdoor-seating",32.7282,-117.1916
