Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
Downtown San Jose,The San Pedro Social,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=The+San+Pedro+Social+Downtown+San+Jose&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails",37.3372,-121.8858
Downtown San Jose,First Street Tavern,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=First+Street+Tavern+Downtown+San+Jose&travelmode=driving,"drinks, social, late-night",37.3407,-121.8868
Downtown San Jose,The Fountain Nightclub,Nightclub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=The+Fountain+Nightclub+Downtown+San+Jose&travelmode=driving,"dancey, high-energy, late-night",37.3387,-121.8878
Downtown San Jose,Santa Clara Street Late Eats,Restaurant,1:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=Santa+Clara+Street+Late+Eats+Downtown+San+Jose&travelmode=driving,"food-focused, late-eats, casual",37.3367,-121.8888
Japantown,The Torii Gate Lounge,Lounge,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=The+Torii+Gate+Lounge+Japantown+San+Jose&travelmode=driving,"drinks, chill, social, date-friendly",37.3422,-121.8888
Japantown,Jackson Street Karaoke,Karaoke,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=Jackson+Street+Karaoke+Japantown+San+Jose&travelmode=driving,"group-fun, interactive, karaoke",37.3457,-121.8898
Japantown,Nihonmachi Late Night Ramen,Restaurant,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=Nihonmachi+Late+Night+Ramen+Japantown+San+Jose&travelmode=driving,"food-focused, late-eats, casual",37.3437,-121.8908
Willow Glen,Lincoln Avenue Pub,Pub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=Lincoln+Avenue+Pub+Willow+Glen+San+Jose&travelmode=driving,"drinks, social, casual, neighborhood-gem",37.3222,-121.8958
Willow Glen,The Glen Wine Room,Wine Bar,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=The+Glen+Wine+Room+Willow+Glen+San+Jose&travelmode=driving,"date-friendly, drinks, chill, wine-bar",37.3257,-121.8968
Santana Row,The Row Cocktail Lounge,Cocktail Bar,1:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=The+Row+Cocktail+Lounge+Santana+Row+San+Jose&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails, trendy",37.3272,-121.9058
Santana Row,Santana Row Wine & Tapas,Wine Bar,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=Santana+Row+Wine+&+Tapas+Santana+Row+San+Jose&travelmode=driving,"date-friendly, food-focused, chill, wine-bar, trendy",37.3307,-121.9068
SoFA District,The Caravan Lounge Social,Dive Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=The+Caravan+Lounge+Social+SoFA+District+San+Jose&travelmode=driving,"late-night, dive, neighborhood-gem",37.3342,-121.8838
SoFA District,South First Music Hall,Music Venue / Bar,Late,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=South+First+Music+Hall+SoFA+District+San+Jose&travelmode=driving,"drinks, live-music, loud, social",37.3377,-121.8848
SoFA District,Art Boutiki Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=Art+Boutiki+Social+SoFA+District+San+Jose&travelmode=driving,"drinks, social, chill",37.3357,-121.8858
The Alameda,Alameda Brewing Co.,Brewery / Taproom,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+San+Jose&destination=Alameda+Brewing+Co.+The+Alameda+San+Jose&travelmode=driving,"drinks, chill, social, brewery, casual",37.3422,-121.8938
