Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
Capitol Hill,Unicorn,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Unicorn+Seattle&travelmode=driving,"drinks, social",47.6271,-122.3191
Capitol Hill,Linda's Tavern,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Linda's+Tavern+Seattle&travelmode=driving,"drinks, social",47.6312,-122.3191
Capitol Hill,Cha Cha Lounge,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Cha+Cha+Lounge+Seattle&travelmode=driving,"drinks, social",47.6332,-122.3181
Capitol Hill,Canon,Cocktail Bar,1:00–2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Canon+Seattle&travelmode=driving,"date-friendly, drinks, social, upscale",47.6325,-122.3157
Capitol Hill,Q Nightclub,Nightclub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Q+Nightclub+Seattle&travelmode=driving,"dancey, high-energy, late-night",47.6363,-122.3156
Capitol Hill,Neighbors Nightclub,Nightclub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Neighbors+Nightclub+Seattle&travelmode=driving,"dancey, high-energy, late-night",47.6356,-122.3133
Capitol Hill,The Crescent Lounge,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=The+Crescent+Lounge+Seattle&travelmode=driving,"drinks, social",47.6376,-122.3123
Capitol Hill,Pony,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Pony+Seattle&travelmode=driving,"drinks, social",47.6402,-122.3116
Capitol Hill,Lost Lake Cafe & Lounge,Diner / Bar,Late / 24h,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Lost+Lake+Cafe+&+Lounge+Seattle&travelmode=driving,"drinks, food-focused, late-eats, social",47.6428,-122.3109
Capitol Hill,Hot Mama's Pizza,Restaurant,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Hot+Mama's+Pizza+Seattle&travelmode=driving,"food-focused, late-eats",47.6478,-122.3114
Capitol Hill,Life on Mars,Bar / Restaurant,1:00–2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Life+on+Mars+Seattle&travelmode=driving,"drinks, food-focused, late-eats, social",47.6486,-122.3098
Capitol Hill,Pie Bar,Dessert Bar,12:00–1:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Pie+Bar+Seattle&travelmode=driving,"chill, drinks, social, sweet",47.6491,-122.3081
Capitol Hill,Rumba,Bar / Club,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Rumba+Seattle&travelmode=driving,"dancey, drinks, high-energy, late-night, social",47.6505,-122.3067
Capitol Hill,Havana,Bar / Club,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Havana+Seattle&travelmode=driving,"dancey, drinks, high-energy, late-night, social",47.6528,-122.3059
Capitol Hill,Bait Shop,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Bait+Shop+Seattle&travelmode=driving,"drinks, social",47.6557,-122.3054
Capitol Hill,Bar House,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Bar+House+Seattle&travelmode=driving,"drinks, social",47.6577,-122.3043
Capitol Hill,Sugar Hill,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Sugar+Hill+Seattle&travelmode=driving,"drinks, social",47.66,-122.3035
Capitol Hill,Still Liquor,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Still+Liquor+Seattle&travelmode=driving,"drinks, social",47.6626,-122.3028
Capitol Hill,Rayo,Bar,1:00–2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Rayo+Seattle&travelmode=driving,"drinks, social",47.6622,-122.3006
Capitol Hill,The Pine Box,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=The+Pine+Box+Seattle&travelmode=driving,"drinks, social",47.6666,-122.3008
Capitol Hill,Summit Public House,Pub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Summit+Public+House+Seattle&travelmode=driving,"drinks, social",47.6656,-122.2983
Capitol Hill,Re-bar,Club,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Re-bar+Seattle&travelmode=driving,"dancey, high-energy, late-night",47.6688,-122.2979
Capitol Hill,Cuff Complex,Club,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Cuff+Complex+Seattle&travelmode=driving,"dancey, high-energy, late-night",47.6726,-122.2978
Capitol Hill,Karaoke at Rock Box,Karaoke,2:00 AM+,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Karaoke+at+Rock+Box+Seattle&travelmode=driving,"group-fun, interactive",47.6716,-122.2953
Capitol Hill,Neumos,Music Venue / Bar,Late,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Neumos+Seattle&travelmode=driving,"drinks, live-music, loud, social",47.6748,-122.2949
Capitol Hill,Barboza,Music Venue / Bar,Late,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Barboza+Seattle&travelmode=driving,"drinks, live-music, loud, social",47.6771,-122.294
Capitol Hill,Chop Suey,Music Venue / Bar,Late,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Chop+Suey+Seattle&travelmode=driving,"drinks, live-music, loud, social",47.6797,-122.2934
Capitol Hill,The Alley,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=The+Alley+Seattle&travelmode=driving,"drinks, social",47.6817,-122.2923
Capitol Hill,Retro,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Retro+Seattle&travelmode=driving,"drinks, social",47.6825,-122.2907
Capitol Hill,Twilight Exit,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Twilight+Exit+Seattle&travelmode=driving,"drinks, social",47.6869,-122.2909
Capitol Hill,Hula Hula,Tiki / Karaoke Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Hula+Hula+Seattle&travelmode=driving,"drinks, group-fun, interactive, social",47.6877,-122.2893
Capitol Hill,Still Life,Bar,1:00–2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Little+Red+Hen+Seattle&destination=Still+Life+Seattle&travelmode=driving,"drinks, social",47.69,-122.2885
